Project ID,Project code,Item code,Item description,Item category name,Units expected,Units Produced,Units remaining,Due date,Project status
1813169,GCC393102,GCC40946,12/12.7OZ DK MINT LG ED DSC,Co-Pack Finished Good,5800,0,5800,2019-Jun-14 09:00 PM,Booked
1813168,GCC393049,GCC40239,24/0.7 XM MKCAR FB SNWM SUB050,Co-Pack Finished Good,25000,0,25000,2019-Jun-19 09:00 PM,Open
1813167,GCC392659,GCC62526,12/6.3 FALL PKN SP SUB300,Co-Pack Finished Good,2261,0,2261,2019-Jun-19 09:00 PM,Open
1813166,GCC392444,GCC40506,280/10/30oz MXD Cndymkg PCH,Co-Pack Finished Good,472,0,472,2019-Jun-27 09:00 PM,Open
1813165,GCC393205,GCC40306,18/4.5 XM WNT MNT mini SUB150,Co-Pack Finished Good,6537,0,6537,2019-Jul-20 09:00 PM,Open
1813164,GCC393210,GCC40609,10/5.7 XM PBK FB SNWM 400 WM,Co-Pack Finished Good,7000,0,7000,2019-Jun-19 09:00 PM,Open
1813163,GCC393229,GCC41103,12/4.2 XM DSSC FB SNWM SUB200,Co-Pack Finished Good,15561,0,15561,2019-Jun-18 09:00 PM,Open
1813162,GCC393215,GCC40640,4/11.6oz XM PBK mini SUB500,Co-Pack Finished Good,10500,0,10500,2019-Jun-18 09:00 PM,Open
1813161,GCC393230,GCC41104,12/6oz DSSC FB SNWM SUB400,Co-Pack Finished Good,10545,0,10545,2019-Jun-18 09:00 PM,Open
1813159,GCC393233,GCC41147,78/XM ASST SQ SUB400 DSPLY,Co-Pack Finished Good,3500,0,3500,2019-Jun-18 09:00 PM,Open
1813157,GCC393241,GCC41187,10/7.9oz XM AST HOL SUB400 WM,Co-Pack Finished Good,9000,0,9000,2019-Jun-18 09:00 PM,Open
1813156,GCC393243,GCC41189,3/14.8oz XM AST HOL SUB550 WM,Co-Pack Finished Good,17580,0,17580,2019-Jun-18 09:00 PM,Open
1813155,GCC393246,GCC41194,178/ XM ASST SQ SUB400 QPL,Co-Pack Finished Good,1350,0,1350,2019-Jun-18 09:00 PM,Open
1813154,GCC393248,GCC41227,280/14/21.3oz FALL ASST SUB600,Co-Pack Finished Good,185,0,185,2019-Jun-18 09:00 PM,Open
1813153,GCC393247,GCC41226,12/6.9oz FALL ASST CAR SUB300,Co-Pack Finished Good,3850,0,3850,2019-Jun-18 09:00 PM,Open
1813152,GCC393253,GCC41238,12/5.3oz XM MKCAR SQ SUB200,Co-Pack Finished Good,3643,0,3643,2019-Aug-20 09:00 PM,Open
1813151,GCC393261,GCC62541,12/5.4oz XM PBK SUB300,Co-Pack Finished Good,39325,0,39325,2019-Jul-20 12:00 AM,Open
1813150,GCC393266,GCC62567,12/4.57oz XM PBK SUB200 DG,Co-Pack Finished Good,5411,0,5411,2019-Jun-18 09:00 PM,Open
1813148,GCC393308,GCC40783,72ct ID BAR SHIPPER 2018,Co-Pack Finished Good,300,300,0,2019-Jun-21 09:00 PM,Closed
1813147,GCC393296,GCC40002,73/ED MXD BR DSPLY,Co-Pack Finished Good,1750,1612,138,2019-Jun-21 09:00 PM,Closed
1813146,GCC393357,GCC41099,108/MXD VERT BKG BR DSPLY,Co-Pack Finished Good,685,0,685,2019-Aug-23 09:00 PM,Open
1813145,GCC393361,GCC41150,78/XM FB SNWM SUB400 DSPLY,Co-Pack Finished Good,1700,0,1700,2019-Jun-18 09:00 PM,Open
